,TRAIN_MSE,TRAIN_MAE,TEST_MSE,TEST_MAE,REAL_MSE,REAL_MAE
CLUSTER_0,0.7986114025115967,0.48348334431648254,0.8315022587776184,0.4679296016693115,0.46458077181218266,0.5283580461477951
CLUSTER_1,0.47739970684051514,0.2903900444507599,0.49369314312934875,0.2561275362968445,0.26576481791183115,0.33475575478374453
CLUSTER_2,0.7996682524681091,0.4353910982608795,0.8176600337028503,0.436078280210495,0.437125088103377,0.519216724840436
CLUSTER_3,0.8029608130455017,0.45754438638687134,0.8773812651634216,0.4886667728424072,0.4711728294635436,0.5456723382704913
CLUSTER_4,1.0096619129180908,0.5433798432350159,1.0858154296875,0.5344142913818359,0.5289387107937304,0.5849926156120969
