,0,1,2
948,949,Belanger,France
949,950,Platzer,Elisabeth
950,951,Rauch,Wolf
951,952,Brunnhofer,Martina
952,953,Dunabr,Amanda
953,954,Fisher,Sara
954,955,Rutherford,Jo
955,956,Stein,Stefan
956,957,Schmidt-Rauch,Susanne
957,958,Keller,Michael
958,959,See-To,Eric Wing Kuen
959,960,Westland,J. Christopher
960,961,Sell,Anna
961,962,Shi,Cong K.
962,963,Wildman,Steve S.
963,964,Hao,Xiaoming
964,965,Sia,Choon Ling
965,966,Shi,Yani
966,967,Wei,Jie
967,968,Yang,Jinbi
968,969,Wang,Nan
969,970,Verkasalo,Hannu
970,971,Virhia,Tuulia
971,972,Roberts,Gama
972,973,Itala,Timo
973,974,Varpilah,Tornorlah
974,975,Vuolle,Maiju
975,976,Kapyla,Jonna
976,977,von Watzdorf,Stephan
977,978,Ippisch,Tobias
978,979,Skorna,Alexander
979,980,Thiesse,Frederic
980,981,Xia,Ruixue
981,982,Rost,Mattias
982,983,Holmquist,Lars Erik
983,984,Wang,Hongxin
984,985,Ren,Yawei
985,986,Zarmpou,Theodora
986,987,Saprikis,Vaggelis
987,988,Vlachopoulou,Maro
988,989,Tsiotsou,Rodoula
989,990,Zhang,Chen
990,991,Choi,Jaewon
991,992,Kandus,Gorazd
992,993,Backman,Jere
993,994,Helaakoski,Heli
994,995,Borea,Chiara
995,996,Miragliotta,Giovanni
996,997,Pala,Emanuela
997,998,Borges,Monica
998,999,Rita,Paulo
999,1000,Pagani,Margherita
1000,1001,Diaz,Francisco Javier
1001,1002,Queiruga,Claudia Alejandra
1002,1003,Ferraresso,Alejandro
1003,1004,Larghi,Jose Luis
1004,1005,Yoo,Y.
1005,1006,Eckjans,Dennis
1006,1007,Fahling,Jens
1007,1008,Leimeister,Jan Marco
1008,1009,Krcmar,Helmut
1009,1010,Geisler,Saskia
1010,1011,Zelazny,Martin
1011,1012,Hermet,Gerard
1012,1013,Combet,Jacques
1013,1014,Hirakawa,Manabu
1014,1015,Li,Chao
1015,1016,Huang,Minfang
1016,1017,Moon,Yeon Joon
1017,1018,Lee,Sunnyoung
1018,1019,Kounavis,Chris D.
1019,1020,Krishnamurthy,Raghuraman
1020,1021,Jagannathan,Saikumar
1021,1022,Negash,Solomon
1022,1023,Neirotti,Paolo
1023,1024,Paolucci,Emilio
1024,1025,Raguseo,Elisabetta
1025,1026,Eng,Jamie
1026,1027,Carignani,Andrea
1027,1028,Gemmo,Vanessa
1028,1029,Negri,Lorenzo
1029,1030,Nikou,Shahrokh
1030,1031,Mezei,Jozsef
1031,1032,OConnor,Yvonne
1032,1033,ODonoghue,John
1033,1034,OReilly,Philip
1034,1035,Olsen,Mia
1035,1036,Vatrapu,Ravi
1036,1037,Lyytinen,Kalle
1037,1038,Papaioannou,Eugenia
1038,1039,Reuver,Mark De
1039,1040,Ongena,Guido
1040,1041,Riquelme,Hernan E.
1041,1042,Enezi,Saleh Al
1042,1043,Rios,Rosa E.
1043,1044,Roldsgaard,Kasper Vilstrup
1044,1045,Bajrovic,Sead
1045,1046,Samarajiva,Rohan
1046,1047,Zainudeen,Ayesha
1047,1048,Al-Dabbagh,Balsam
1048,1049,Srinuan,Chalita
1049,1050,Teppayayon,Orada
1050,1051,Tilson,David
1051,1052,Tobbin,Peter
1052,1053,Trudel,Maxime
1053,1054,Boeck,Harold
1054,1055,Bastonnais,Mylene
1055,1056,Rabec,Charley
1056,1057,Bergeron,Maxime St-Jean
1057,1058,Tuunanen,Tuure
1058,1059,Piispanen,Jouni
1059,1060,Patsioura,Fotini
1060,1061,Zhanga,Aihua
1061,1062,Yue,Xing
1062,1063,Kong,Ying
1063,1064,Zifceac,Adela
1064,1065,Mlesnita,Radu-Adrian
1065,1066,Russel,Martha G.
1066,1067,Huhtamaki,Jukka
1067,1068,Rubens,Neil
1068,1069,Chun-Wang,Tsou
1069,1070,Yin-Tsuo,Huang
1070,1071,Orjuela,Juan
1071,1072,Hess,Basil
1072,1073,Ameling,Michael
1073,1074,von Reischach,Felix
1074,1075,Kemppainen,Matti
1075,1076,Ishida,Hisashi
1076,1077,Ghyas,Qazi Mahdia
1077,1078,Kouris,Iana
1078,1079,Kleer,Rob
1079,1080,Liu,Yong
1080,1081,Li,Hongxiu
1081,1082,Mallenius,Seppo
1082,1083,Manner,Julia
1083,1084,Nienaber,David
1084,1085,Schermann,Michael
1085,1086,Nikayin,Fatemeh
1086,1087,Bowman,Harry
1087,1088,Guo,Jie
1088,1089,Nyakaisiki,Sheba
1089,1090,Pei,Yanli
1090,1091,Raju,Anand
1091,1092,Lewis,Tim
1092,1093,Stamatelatos,Makis
1093,1094,Heerschap,Nico
1094,1095,Spek,Sander
1095,1096,Braet,Olivier
1096,1097,Xiangpei,Hu
1097,1098,Mu,Du
1098,1099,Lijun,Sun
1099,1100,Minfang,Huang
1100,1101,Pouloudi,Nancy
1101,1102,Aidi,Laili
1102,1103,Markendahl,Jan
1103,1104,Tollmar,Konrad
1104,1105,Selvakumar,Ekambar
1105,1106,Apanasevic,Tatjana
1106,1107,Putrevu,Jagannath
1107,1108,Buchinger,Uschi
1108,1109,Ranaivoson,Heritiana
1109,1110,Buckel,Thomas
1110,1111,Budu,Joseph
1111,1112,Boateng,Richard
1112,1113,Calin,Mihai
1113,1114,Picco-schwendener,Anna
1114,1115,Cantoni,Lorenzo
1115,1116,Eriksson,Niklas
1116,1117,Westerlund,Magnus
1117,1118,Rosenbroijer,Carl-Johan
1118,1119,Aittoniemi,Hellevi
1119,1120,Mellin,Ted
1120,1121,Fransman,Krista
1121,1122,Fischer,Nikolaus
1122,1123,Hable,Richard
1123,1124,Pergler,Elisabeth
1124,1125,Ram,David
1125,1126,Camacho,Sonia
1126,1127,Kasimati,Anna E.
1127,1128,Klein,Amarolinda
1128,1129,Costa,Eliane
1129,1130,Vieira,Luciana
1130,1131,Teixeira,Rafael
1131,1132,Leelawat,Natt
1132,1133,Pee,L. G.
1133,1134,Rosenqvist,Christopher
1134,1135,Andersson,Per
1135,1136,Mattsson,Lars-Gunnar
1136,1137,Noyen,Kay
1137,1138,Baumann,Matthias
1138,1139,Michahelles,Florian
1139,1140,Jurisch,Marlen
1140,1141,Schreiber,Veronika
1141,1142,Worf,Petra
1142,1143,Glatz,Daniela
1143,1144,Pournarakis,Demitrios
1144,1145,Sotiropoulos,Dionisios N.
1145,1146,Raffelsieper,Matthias
1146,1147,Ilic,Alexander
1147,1148,Keller,Thorben
1148,1149,Fleisch,Elgar
1149,1150,Sammer,Thomas
1150,1151,Vogeli,Sandro
1151,1152,Back,Andrea
1152,1153,Seeger,Greta
1153,1154,Bick,Markus
1154,1155,Petridis,Konstantinos
